,Company,PriceRs.,Day HighRs.
0,"
TVS Motor
",1170.15,1184.4
1,"
Glenmark Pharma
",512,516.9
2,"
Dr. Reddy''s Lab
",4909.35,4940
3,"
JBM Auto
",813.75,818.9
4,"
Manappuram Finance
",129.6,133.95
5,"
Dalmia Bharat
",2052.5,2078
6,"
Polycab India
",3138.85,3159.9
7,"
Zydus Lifesciences
",517.1,519.4
8,"
Axita Cotton
",71.45,71.7
9,"
Aptech
",451.35,455
10,"
Som Distilleries
",171.2,172.9
11,"
NCC
",109.4,112
12,"
Titagarh Wagons
",300.35,305.2
13,"
KSolves India
",607.05,623.65
14,"
Surya Roshni
",768.6,782.4
15,"
TVS Motor
",1170.15,1184.4
16,"
Glenmark Pharma
",512,516.9
17,"
Dr. Reddy''s Lab
",4909.35,4940
18,"
JBM Auto
",813.75,818.9
19,"
Manappuram Finance
",129.6,133.95
20,"
Dalmia Bharat
",2052.5,2078
21,"
Polycab India
",3138.85,3159.9
22,"
Zydus Lifesciences
",517.1,519.4
23,"
Axita Cotton
",71.45,71.7
24,"
Aptech
",451.35,455
25,"
Som Distilleries
",171.2,172.9
26,"
NCC
",109.4,112
27,"
Titagarh Wagons
",300.35,305.2
28,"
KSolves India
",607.05,623.65
29,"
Surya Roshni
",768.6,782.4
